restaurant_url,restaurant_name,number_of_reviews
https://www.tripadvisor.com/Restaurant_Review-g293926-d10445247-Reviews-Kyodai_Japanese_Restaurant-Hue_Thua_Thien_Hue_Province.html,Kyodai Japanese Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d34158485-Reviews-Hoang_Yen_Restaurant-Hue_Thua_Thien_Hue_Province.html,Hoang Yen Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d8130689-Reviews-Huyen_Anh-Hue_Thua_Thien_Hue_Province.html,Huyen Anh,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26491783-Reviews-Sala_Restaurant_Hue-Hue_Thua_Thien_Hue_Province.html,Sala Restaurant Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g2549590-d8631956-Reviews-Minh_Tam-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html,Minh Tam,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d10060151-Reviews-San_May_Vegeterian_Restaurant-Hue_Thua_Thien_Hue_Province.html,San May Vegeterian Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d12604080-Reviews-The_Water_Court-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,The Water Court,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28986739-Reviews-An_Phu_Garden_Restaurant_Hue-Hue_Thua_Thien_Hue_Province.html,An Phu Garden Restaurant Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d6598710-Reviews-Hang_Me_Me-Hue_Thua_Thien_Hue_Province.html,Hang Me Me,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d33065582-Reviews-Hueritage_Cruises-Hue_Thua_Thien_Hue_Province.html,Hueritage Cruises,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d34274929-Reviews-Cat_Cafe_Mocha_Aeon_Mall_Hu-Hue_Thua_Thien_Hue_Province.html,Cat Cafe Mocha Aeon Mall Huế,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d12385031-Reviews-Burger_Shack_Hue_L_u_Hamburgers-Hue_Thua_Thien_Hue_Province.html,Burger Shack Hue - Lều Hamburgers,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26865032-Reviews-Tropical_Garden-Hue_Thua_Thien_Hue_Province.html,Tropical Garden,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26343199-Reviews-Ngon_Burger-Hue_Thua_Thien_Hue_Province.html,Ngon Burger,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d5959678-Reviews-Moc_Vien_Restaurant-Hue_Thua_Thien_Hue_Province.html,Moc Vien Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25224790-Reviews-Gem_Sushi_Bar-Hue_Thua_Thien_Hue_Province.html,Gem Sushi Bar,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d5501134-Reviews-Red_Chilli_Restaurant-Hue_Thua_Thien_Hue_Province.html,Red Chilli Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1988490-Reviews-Tinh_Gia_Vien-Hue_Thua_Thien_Hue_Province.html,Tinh Gia Vien,Xem khi lặp Review
